cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score
13,0,Morrisons,GetPro Caramel High Protein Pudding,fresh_food,Getpro,False,,179.6,g,,Caramel High Protein Pudding,caramel high protein pudding,1.85,10.3,branded,1,1,branded,
14,1,Tesco,John West Smoked Oysters Sunflower Oil 85G,food_cupboard,John West,False,,85.0,g,,Smoked Oysters Sunflower Oil,smoked oysters sunflower oil,2.6,40.0,branded,1,1,branded,
15,2,Morrisons,Nestle Pure Life Still Spring Water,drinks,Nestle,False,,6250.0,ml,,Pure Life Still Spring Water,pure life still spring water,2.5,0.4,branded,1,1,branded,
16,3,ASDA,ASDA White Lasagne Pasta Sauce,food_cupboard,,True,standard,477.3,g,,White Lasagne Pasta Sauce,white lasagne pasta sauce,1.05,2.2,own_brand,1,1,own_brand,
17,4,ASDA,ASDA Extra Special Nut Mix,fresh_food,,True,premium,174.8,g,,Nut Mix,nut mix,2.5,14.3,own_brand,1,1,own_brand,
18,5,Morrisons,Mutti Cherry Tomatoes (400g),food_cupboard,Mutti,False,,400.0,g,,Cherry Tomatoes,cherry tomatoes,2.5,6.25,branded,1,1,branded,
19,6,ASDA,ASDA Free From Chocolate Mousses,fresh_food,,True,dietary,179.2,g,,Chocolate Mousses,chocolate mousses,1.9,10.6,own_brand,1,1,own_brand,
20,7,Sains,Sainsbury's Lamb & Mint Kebabs x6 360g,free-from,,True,standard,360.0,g,6.0,Lamb and Mint Kebabs,lamb and mint kebabs,4.0,11.11,own_brand,1,1,own_brand,
21,8,Morrisons,Chevaliers St Martin Aop Bordeaux,drinks,,False,,751.9,ml,,Chevaliers St Martin Aop Bordeaux,chevaliers st martin aop bordeaux,6.0,7.98,unbranded,1,1,unbranded,
22,10,Tesco,Scrumpy Jack Premium British Cider Can 4x440ml,drinks,Scrumpy Jack,False,,1760.0,ml,4.0,Premium British Cider Can,premium british cider can,5.0,2.84,branded,1,1,branded,
23,11,Morrisons,Players Easy Rolling Tobacco,drinks,,False,,50.0,g,,Players Easy Rolling Tobacco,players easy rolling tobacco,31.25,625.0,unbranded,1,1,unbranded,
24,12,Tesco,Mazzetti Gold Label Balsamic Vinegar Of Modena 250Ml,food_cupboard,Mazzetti,False,,250.0,ml,,Gold Label Balsamic Vinegar Of Modena,gold label balsamic vinegar of modena,7.45,29.8,branded,1,1,branded,
25,13,ASDA,Macon-Villages Reserve Chardonnay 750ml,drinks,,False,,750.0,ml,,Macon-Villages Reserve Chardonnay,macon villages reserve chardonnay,10.5,139.96,unbranded,1,1,unbranded,
26,14,Morrisons,Morrison Thin Crust Cheese Pizza,frozen,,False,standard,313.9,g,,Thin Crust Cheese Pizza,thin crust cheese pizza,0.97,3.09,unbranded,1,1,unbranded,
27,15,ASDA,Hardys Crest Cabernet Shiraz Merlot,drinks,Hardys,False,,75.0,ml,,Crest Cabernet Shiraz Merlot,crest cabernet shiraz merlot,6.5,86.64,branded,1,1,branded,
28,16,Sains,Sainsbury's Pure 100% Prune Juice 1L,drinks,,True,standard,1000.0,ml,,Pure Prune Juice,pure prune juice,2.1,2.1,own_brand,1,1,own_brand,
29,17,Sains,Sainsbury's Quadruple Strength Summer Fruits Squash 750ml,drinks,,True,standard,750.0,ml,,Quadruple Strength Summer Fruits Squash,quadruple strength summer fruits squash,1.5,2.0,own_brand,1,1,own_brand,
30,18,ASDA,Buttermilk Peanut Nougat,food_cupboard,Buttermilk,False,,50.0,g,,Peanut Nougat,peanut nougat,1.5,30.0,branded,1,1,branded,
31,19,Tesco,Tesco Finest 4 Pork Sausage Rolls 188G,fresh_food,,True,premium,188.0,g,,4 Pork Sausage Rolls,4 pork sausage rolls,2.5,13.3,own_brand,1,1,own_brand,
32,20,ASDA,Blue Riband Original Milk Chocolate Wafer Biscuits 16 Pack,food_cupboard,Blue Riband,False,,288.5,g,16.0,Original Milk Chocolate Wafer Biscuits,original milk chocolate wafer biscuits,2.25,7.8,branded,1,1,branded,
33,21,Sains,Geeta's Mango Chutney 320g,food_cupboard,Geeta'S,False,,320.0,g,,Mango Chutney,mango chutney,2.35,7.3,branded,1,1,branded,
34,22,ASDA,Sheldon's Lancashire Oven Bottom Muffins,bakery,Sheldon'S,False,,,,,Lancashire Oven Bottom Muffins,lancashire oven bottom muffins,1.7,0.28,branded,1,1,branded,
35,23,Sains,Kellogg's Special K The Original 300g,food_cupboard,Kellogg'S,False,,300.0,g,,Special K The Original,special k the original,2.25,7.5,branded,1,1,branded,
36,24,Morrisons,Kind Dark Chocolate Nuts & Sea Sa…,food_cupboard,Kind,False,,90.1,g,,Dark Chocolate Nuts and Sea Sa…,dark chocolate nuts and sea sa,3.0,33.3,branded,1,1,branded,
37,25,ASDA,Sharp's Doom Bar Amber Ale,drinks,Sharp'S,False,,500.0,ml,,Doom Bar Amber Ale,doom bar amber ale,2.4,4.8,branded,1,1,branded,
38,26,Tesco,Stockwell & Co 80 Tea Bags 200G,drinks,,False,,200.0,g,80.0,Stockwell and Co,stockwell and co,0.89,4.4,unbranded,1,1,unbranded,
39,27,Tesco,Philadelphia Original Soft Cream Cheese Mini Tub 4 Pack 140G,fresh_food,Philadelphia,False,,140.0,g,4.0,Original Soft Cream Cheese Mini Tub,original soft cream cheese mini tub,1.95,13.93,branded,1,1,branded,
40,28,Morrisons,Applewood Vegan Block,free-from,Applewood,False,,200.0,g,,Block,block,2.5,12.5,branded,1,1,branded,
41,29,ASDA,Ambrosia Deluxe Custard Madagascan Vanilla 2 x 120g (240g),food_cupboard,Ambrosia,False,,240.0,g,2.0,Deluxe Custard Madagascan Vanilla,deluxe custard madagascan vanilla,1.0,4.2,branded,1,1,branded,
42,30,Tesco,Tesco Finest Chai 50 Tea Bags 125G,drinks,,True,premium,125.0,g,50.0,Chai,chai,1.9,15.2,own_brand,1,1,own_brand,
43,31,Sains,Grenade Jaffa Quake Chocolate Orange Flavour 60g,free-from,Grenade,False,,60.0,g,,Jaffa Quake Chocolate Orange Flavour,jaffa quake chocolate orange flavor,2.0,33.3,branded,1,1,branded,
44,32,Tesco,Mars Triple Treat Fruit Nut & Chocolate Bars Multipack 4 X 32g,food_cupboard,Mars,False,,128.0,g,4.0,Triple Treat Fruit Nut and Chocolate Bars Multipack,triple treat fruit nut and chocolate bars multipack,1.75,13.7,branded,1,1,branded,
45,33,Sains,Sainsbury's Paprika Lentil Triangles 85g,food_cupboard,,True,standard,85.0,g,,Paprika Lentil Triangles,paprika lentil triangles,1.3,15.3,own_brand,1,1,own_brand,
